文字id,中文描述
id,chinese
string,string
Long1,本游戏部分文本和设定来自正史、野史和类书笔记。
Long2,"眼前甲午风云的火焰仍旧跃然不息，耳旁宁远大捷的战旗依然猎猎作响。每一个王朝交替，每一度盛衰无常，我们在史书中都会看到战火绵延九边，白骨铺满中原。

身为华夏子孙的我们，如今已然远离战火久矣，但每在身边听闻那些似乎早已埋藏在故纸堆中的祖辈英雄往事，每当沉浸在回望历史的激情澎湃中，你的心中是否曾有过一次看似飘渺的向往？

假如，假如你有一个机会，暂时离开现在的人生，去跨越历史长河中的千百年，当你踏上如此熟悉却从未触摸过的那方土地，成为一个自己都不认识的人，让一切重新开始。

你将会做些什么？

也许现在，是到了做一个选择的时候了……"
Long3,志曰：夫志也者，史之流也。自列国掌记之职不存，而郡邑之志作，盖藉以考俗、求治、仰止、进修，而为信史于一方者，非以饰吏事而广见闻也。兹唯任亦大唯艰哉。先王疆理天下，必因地之势而分州画野以治焉。故夫物采之华灿然并囿而不乱者，皆地之为也。图治理者，不可不知。
Story1,序幕
Story2,0
Story3,0
Story4,0
Story5,0
Story6,0
Story7,0
Story8,0
Story9,0
Story10,0
System_1,游戏提示
System_2,提示
System_3,新
System_4,更多信息
System_5,点击继续
System_6,确定
System_7,取消
System_8,点击任意区域继续
System_9,进入游戏
System_10,输入数量
System_11,输入姓名
System_12,输入文字
System_13,0
Nomal_1,极劣
Nomal_2,较劣
Nomal_3,劣
Nomal_4,中下
Nomal_5,中平
Nomal_6,中上
Nomal_7,良
Nomal_8,较优
Nomal_9,极优
Nomal_10,无
Nomal_11,：
Nomal_12,未知
Nomal_13,LV.
Nomal_14,公元
Nomal_15,年
Nomal_16,月
Nomal_17,天
Nomal_18,时辰
Nomal_19,刻
Nomal_20,旬
Nomal_21,未知
Nomal_22,无
Nomal_23,极小
Nomal_24,较小
Nomal_25,小
Nomal_26,中小
Nomal_27,中
Nomal_28,中大
Nomal_29,大
Nomal_30,较大
Nomal_31,极大
Nomal_32,日
Nomal_33,正
Nomal_34,腊
Nomal_35,十
Nomal_36,白
Nomal_37,千
Nomal_38,万
Nomal_39,一
Nomal_40,二
Nomal_41,三
Nomal_42,四
Nomal_43,五
Nomal_44,六
Nomal_45,七
Nomal_46,八
Nomal_47,九
Nomal_48,月
Nomal_49,初
Nomal_50,子时
Nomal_51,丑时
Nomal_52,寅时
Nomal_53,卯时
Nomal_54,辰时
Nomal_55,巳时
Nomal_56,午时
Nomal_57,未时
